,sigma,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
0,0.0,0.038345634757454776,0.031068654450086657,0.0011192818509827192,0.0096783337369942,0.04835519744966017,0.03449750580034459,0.0013248677336169256,0.011692047912842183,0,0
1,0.0,0.011995545078080221,0.1063686055807301,0.002784677225133068,0.3321931082945735,0.015287223353882756,0.11221118823808453,0.0033395279887837768,0.49756335827070697,1,0
2,0.0,0.04532975756470637,0.5686037075540692,0.0010121478021292616,0.05818908411283632,0.11982020356189935,0.5745545643078757,0.0012988494912167037,0.07225381117887544,2,0
3,0.0,0.017689668796505693,0.1681908942532383,0.00030889461267041986,0.041746548289626755,0.04363645224967901,0.1698778738836072,0.00039943160042484917,0.04874519002266186,3,0
4,0.0,0.015367078183619478,0.06664071348037989,0.00017021755927056152,0.0029485946274729995,0.019958221690598563,0.07040257820596137,0.00024805058928071926,0.004091270333072269,4,0
5,0.0,0.007375546651996818,0.07144858268185031,0.0004865566624207599,0.14085168745098056,0.012901142457471683,0.08879131901643099,0.0006838704158147082,0.1689972069296649,5,0
6,0.0,0.006576893672113313,0.09155275522549257,0.00032353353186695443,0.018113636426146034,0.016010505916351715,0.09312471524348805,0.00038924738108527066,0.023113044732589655,6,0
7,0.0,0.007776934491820241,0.06093985294552069,0.000699999991298737,0.025820444881709568,0.014318334128293945,0.0612438675304153,0.0009039426303542021,0.03364339911947953,7,0
8,0.0,0.007191351251179991,0.09897701980993887,5.06145342908162e-05,0.059529501732911945,0.01565973965776641,0.09997828355734521,7.104044573941991e-05,0.08638921082345535,8,0
9,0.0,0.002033293345685091,0.026620664562289266,1.4311849423974544e-05,0.24543305999120552,0.0027660121084997864,0.03274005258000409,1.6265960450921574e-05,0.6222421992078948,9,0
10,0.0,0.038359937529392554,0.0462822501314221,0.000634263558693058,0.0021874074403424406,0.04726722559768975,0.050920456411321514,0.0008017254828792925,0.002376866878274031,0,1
11,0.0,0.010395770146948986,0.08431830050055475,0.0026757122556685586,1168965234.7582939,0.013222273682325357,0.08890939167585944,0.003501617403951718,5194322888.8216305,1,1
12,0.0,0.0460935610138864,0.5845804759938903,0.0005762808428804942,0.18959342379606436,0.12176504340774696,0.591022595989045,0.0007888490560905481,0.24100793632860773,2,1
13,0.0,0.017880664379380597,0.15080589395972427,0.00032672468972266453,0.10469671655840009,0.04411412873554618,0.15402731041571346,0.0004330678272935761,0.1469242550841266,3,1
14,0.0,0.015534128680786751,0.06769730882658707,0.0003412551399595921,0.006600285010980221,0.018833360413052357,0.07111735414177207,0.0004652218619248416,0.009092764329157814,4,1
15,0.0,0.048041581447021565,0.061659978921243266,0.00019035087212733264,0.00302134996516811,0.05993101796731925,0.07331092448703808,0.0002155028373009347,0.004062695387027648,5,1
16,0.0,0.00776865246802762,0.11799397750300307,0.000760479276115128,0.0005882937780152729,0.01870074212060112,0.12048184504645158,0.0009443598547355098,0.0007613392919980957,6,1
